|NO_REGIAO_Centro-Oeste|NO_REGIAO_Nordeste|NO_REGIAO_Norte|NO_REGIAO_Sem_regiao|NO_REGIAO_Sudeste|NO_REGIAO_Sul|NO_UF_Acre|NO_UF_Alagoas|NO_UF_Amapá|NO_UF_Amazonas|NO_UF_Bahia|NO_UF_Ceará|NO_UF_Distrito Federal|NO_UF_Espírito Santo|NO_UF_Goiás|NO_UF_Maranhão|NO_UF_Mato Grosso|NO_UF_Mato Grosso do Sul|NO_UF_Minas Gerais|NO_UF_Paraná|NO_UF_Paraíba|NO_UF_Pará|NO_UF_Pernambuco|NO_UF_Piauí|NO_UF_Rio Grande do Norte|NO_UF_Rio Grande do Sul|NO_UF_Rio de Janeiro|NO_UF_Rondônia|NO_UF_Roraima|NO_UF_Santa Catarina|NO_UF_Sem_uf|NO_UF_Sergipe|NO_UF_São Paulo|NO_UF_Tocantins|IN_CAPITAL_DEPARA_Não|IN_CAPITAL_DEPARA_Sim|NO_CURSO_DEPARA_ADS|NO_CURSO_DEPARA_Agrocomputação|NO_CURSO_DEPARA_CComputação|NO_CURSO_DEPARA_Eng. Computação|NO_CURSO_DEPARA_Eng. El. Ênfase Em Computação|NO_CURSO_DEPARA_Eng. de Sistemas|NO_CURSO_DEPARA_Mat. e CCientífica|NO_CURSO_DEPARA_SComputação|NO_CURSO_DEPARA_SInformação|TP_GRAU_ACADEMICO_DEPARA_Bacharelado|TP_GRAU_ACADEMICO_DEPARA_Licenciatura|TP_GRAU_ACADEMICO_DEPARA_Tecnológico|IN_GRATUITO_DEPARA_Não|IN_GRATUITO_DEPARA_Sim|TP_MODALIDADE_ENSINO_DEPARA_Curso a distância|TP_MODALIDADE_ENSINO_DEPARA_Presencial|TP_NIVEL_ACADEMICO_DEPARA_Graduação|TP_NIVEL_ACADEMICO_DEPARA_Sequencial de Formação Específica|TP_DIMENSAO_DEPARA_Cursos a distância com dimensão de dados somente a nível Brasil|TP_DIMENSAO_DEPARA_Cursos a distância ofertados no Brasil|TP_DIMENSAO_DEPARA_Cursos a distância ofertados por instituições brasileiras no exterior|TP_DIMENSAO_DEPARA_Cursos presenciais ofertados no Brasil|TP_ORGANIZACAO_ACADEMICA_DEPARA_Centro Federal de Educação Tecnológica|TP_ORGANIZACAO_ACADEMICA_DEPARA_Centro Universitário|TP_ORGANIZACAO_ACADEMICA_DEPARA_Faculdade|TP_ORGANIZACAO_ACADEMICA_DEPARA_Instituto Federal de Educação, Ciência e Tecnologia|TP_ORGANIZACAO_ACADEMICA_DEPARA_Universidade|TP_CATEGORIA_ADMINISTRATIVA_DEPARA_Especial|TP_CATEGORIA_ADMINISTRATIVA_DEPARA_Privada com fins lucrativos|TP_CATEGORIA_ADMINISTRATIVA_DEPARA_Privada sem fins lucrativos|TP_CATEGORIA_ADMINISTRATIVA_DEPARA_Pública Estadual|TP_CATEGORIA_ADMINISTRATIVA_DEPARA_Pública Federal|TP_CATEGORIA_ADMINISTRATIVA_DEPARA_Pública Municipal|QT_VG_TOTAL|QT_INSCRITO_TOTAL|QT_ING|QT_MAT|QT_CONC|TP_REDE_DEPARA
30|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|1|1|0|1|0|1|0|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|170|361|0|0|0|Privada
31|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|1|1|0|1|0|1|0|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|400|328|0|0|0|Privada
32|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|1|1|0|0|1|0|1|0|1|0|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|5286|1658|0|0|0|Privada
33|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|1|1|0|0|1|0|1|0|1|0|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|524|425|0|0|0|Privada
34|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|1|0|0|0|0|0|1|0|0|1|0|1|0|1|0|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|250|187|0|0|0|Privada
35|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|1|1|0|1|0|1|0|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|3000|54|0|0|0|Privada
36|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|1|1|0|1|0|1|0|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|63|80|0|0|0|Privada
37|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|1|1|0|0|1|0|1|0|1|0|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|90|61|0|0|0|Privada
38|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|1|1|0|1|0|1|0|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|348|1413|0|0|0|Privada
39|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|1|1|0|1|0|1|0|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|300|320|0|0|0|Privada
40|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|1|1|0|0|1|0|1|0|1|0|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|942|108|0|0|0|Privada
41|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|1|1|0|1|0|1|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|48|60|0|0|0|Privada
42|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|1|0|0|0|0|0|0|1|0|0|1|0|1|0|1|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|18|30|0|0|0|Privada
43|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|1|0|0|0|0|0|0|1|0|0|1|0|1|0|1|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|233|8|0|0|0|Privada
44|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|1|1|0|1|0|1|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|238|7|0|0|0|Privada
45|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|1|1|0|1|0|1|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|624|670|0|0|0|Privada
46|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|1|1|0|1|0|1|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|127|312|0|0|0|Privada
47|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|1|0|0|0|0|0|0|1|0|0|1|0|1|0|1|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|133|150|0|0|0|Privada
